pair_id,untrained_score,trained_score,true_label,label_text
0,0.937890233846272,0.5012598,1,Similar
1,0.4767773856673132,0.5168377,1,Similar
2,0.5858803223076614,0.51942545,0,Dissimilar
3,0.7236397690432291,0.5122067,1,Similar
4,0.26928709188177424,0.47242045,0,Dissimilar
5,0.14918037047787436,0.41626805,0,Dissimilar
6,0.46601238088774055,0.5929769,1,Similar
7,0.27791162326950425,0.42857522,0,Dissimilar
8,0.15215612193961958,0.28944513,1,Similar
9,0.6810476382447993,0.41626805,0,Dissimilar
10,0.41318520880670184,0.44320008,0,Dissimilar
11,0.09349690542773692,0.48962104,1,Similar
12,0.9085993875420822,0.5236546,0,Dissimilar
13,0.6075554802802521,0.50039434,0,Dissimilar
14,0.6397657605664094,0.49280584,1,Similar
15,0.8342113675643527,0.47013012,1,Similar
16,0.21606627106810705,0.32291514,1,Similar
17,0.671499624829322,0.4933438,0,Dissimilar
18,0.6067901307792031,0.4929781,1,Similar
19,0.19352687862282936,0.34944525,0,Dissimilar
20,0.7642820148071316,0.44710574,0,Dissimilar
21,0.38160284155707247,0.5464109,1,Similar
22,0.3939513769616708,0.43682858,1,Similar
